,commodity,country,imports,country_code,latitude,longitude,code country
13,02 Dairy products & eggs,Belgium,893.37,BE,50.503887,4.469936,BE Belgium
14,02 Dairy products & eggs,Cyprus,378.53000000000003,CY,35.126413,33.429859,CY Cyprus
15,02 Dairy products & eggs,Denmark,706.88,DK,56.26392,9.501785,DK Denmark
16,02 Dairy products & eggs,France,2072.36,FR,46.227638,2.213749,FR France
17,02 Dairy products & eggs,Germany,1442.5,DE,51.165691,10.451526,DE Germany
18,02 Dairy products & eggs,Greece,453.85,GR,39.074208,21.824312,GR Greece
19,02 Dairy products & eggs,Ireland,3126.7299999999996,IE,53.41291,-8.24389,IE Ireland
20,02 Dairy products & eggs,Italy,1039.5700000000002,IT,41.87194,12.56738,IT Italy
21,02 Dairy products & eggs,Netherlands,1430.3799999999999,NL,52.132633,5.291266,NL Netherlands
22,02 Dairy products & eggs,Poland,399.83,PL,51.919438,19.145136,PL Poland
23,02 Dairy products & eggs,Spain,284.35999999999996,ES,40.463667,-3.74922,ES Spain
