,commodity,country,imports,country_code,latitude,longitude,code country
24,03 Fish & shellfish,Canada,354.39,CA,56.130366,-106.346771,CA Canada
25,03 Fish & shellfish,China,953.8899999999999,CN,35.86166,104.195397,CN China
26,03 Fish & shellfish,Denmark,766.9699999999999,DK,56.26392,9.501785,DK Denmark
27,03 Fish & shellfish,Ecuador,413.39,EC,-1.831239,-78.183406,EC Ecuador
28,03 Fish & shellfish,Faroe Islands,794.44,FO,61.892635,-6.911806,FO Faroe Islands
29,03 Fish & shellfish,Germany,754.09,DE,51.165691,10.451526,DE Germany
30,03 Fish & shellfish,Iceland,1225.94,IS,64.963051,-19.020835,IS Iceland
31,03 Fish & shellfish,India,423.72,IN,20.593684,78.96288,IN India
32,03 Fish & shellfish,Netherlands,437.85,NL,52.132633,5.291266,NL Netherlands
33,03 Fish & shellfish,Norway,935.38,NO,60.472024,8.468946,NO Norway
34,03 Fish & shellfish,Poland,319.74,PL,51.919438,19.145136,PL Poland
35,03 Fish & shellfish,Sweden,869.47,SE,60.128161,18.643501,SE Sweden
36,03 Fish & shellfish,Vietnam,901.2,VN,14.058324,108.277199,VN Vietnam
