,commodity,country,imports,country_code,latitude,longitude,code country
99,09 Miscellaneous foods,Belgium,678.48,BE,50.503887,4.469936,BE Belgium
100,09 Miscellaneous foods,China,397.18,CN,35.86166,104.195397,CN China
101,09 Miscellaneous foods,Denmark,808.61,DK,56.26392,9.501785,DK Denmark
102,09 Miscellaneous foods,France,1038.52,FR,46.227638,2.213749,FR France
103,09 Miscellaneous foods,Germany,1584.06,DE,51.165691,10.451526,DE Germany
104,09 Miscellaneous foods,Ireland,1601.54,IE,53.41291,-8.24389,IE Ireland
105,09 Miscellaneous foods,Italy,1408.71,IT,41.87194,12.56738,IT Italy
106,09 Miscellaneous foods,Netherlands,1903.2,NL,52.132633,5.291266,NL Netherlands
107,09 Miscellaneous foods,Poland,597.86,PL,51.919438,19.145136,PL Poland
108,09 Miscellaneous foods,Spain,464.71999999999997,ES,40.463667,-3.74922,ES Spain
109,09 Miscellaneous foods,Thailand,341.98,TH,15.870032,100.992541,TH Thailand
110,09 Miscellaneous foods,United States,735.61,US,37.09024,-95.712891,US United States
