,commodity,country,imports,country_code,latitude,longitude,code country
49,05 Vegetables & fruit,Belgium,3119.74,BE,50.503887,4.469936,BE Belgium
50,05 Vegetables & fruit,Brazil,686.6,BR,-14.235004,-51.92528,BR Brazil
51,05 Vegetables & fruit,Canada,363.78,CA,56.130366,-106.346771,CA Canada
52,05 Vegetables & fruit,Chile,981.85,CL,-35.675147,-71.542969,CL Chile
53,05 Vegetables & fruit,China,599.62,CN,35.86166,104.195397,CN China
54,05 Vegetables & fruit,Colombia,770.97,CO,4.570868,-74.297333,CO Colombia
55,05 Vegetables & fruit,Costa Rica,814.82,CR,9.748917,-83.753428,CR Costa Rica
56,05 Vegetables & fruit,Dominican Republic,365.44,DO,18.735693,-70.162651,DO Dominican Republic
57,05 Vegetables & fruit,Egypt,679.05,EG,26.820553,30.802498,EG Egypt
58,05 Vegetables & fruit,France,1668.85,FR,46.227638,2.213749,FR France
59,05 Vegetables & fruit,Germany,2591.15,DE,51.165691,10.451526,DE Germany
60,05 Vegetables & fruit,Greece,492.15,GR,39.074208,21.824312,GR Greece
61,05 Vegetables & fruit,India,650.58,IN,20.593684,78.96288,IN India
62,05 Vegetables & fruit,Ireland,1066.22,IE,53.41291,-8.24389,IE Ireland
63,05 Vegetables & fruit,Israel,358.86,IL,31.046051,34.851612,IL Israel
64,05 Vegetables & fruit,Italy,2451.56,IT,41.87194,12.56738,IT Italy
65,05 Vegetables & fruit,Kenya,420.72,KE,-0.023559,37.906193,KE Kenya
66,05 Vegetables & fruit,Netherlands,6127.38,NL,52.132633,5.291266,NL Netherlands
67,05 Vegetables & fruit,Peru,1134.8000000000002,PE,-9.189967,-75.015152,PE Peru
68,05 Vegetables & fruit,Poland,1118.15,PL,51.919438,19.145136,PL Poland
69,05 Vegetables & fruit,Portugal,470.27000000000004,PT,39.399872,-8.224454,PT Portugal
70,05 Vegetables & fruit,South Africa,2333.3,ZA,-30.559482,22.937506,ZA South Africa
71,05 Vegetables & fruit,Spain,7934.3099999999995,ES,40.463667,-3.74922,ES Spain
72,05 Vegetables & fruit,Turkey,1254.5099999999998,TR,38.963745,35.243322,TR Turkey
73,05 Vegetables & fruit,United States,1279.63,US,37.09024,-95.712891,US United States
74,05 Vegetables & fruit,Vietnam,375.65,VN,14.058324,108.277199,VN Vietnam
