country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
Argentina,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.11,0.0
Argentina,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.42,0.0
Argentina,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.53999999999996,0.0
Argentina,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.8100000000001,0.0
Belgium,2018,0.0,183.50000000000003,225.19,0.0,322.08,765.8799999999999,141.82,220.85000000000002,0.0,169.37
Belgium,2019,0.0,194.21,203.49,0.0,306.53000000000003,858.0200000000001,134.15,266.10999999999996,0.0,169.08
Belgium,2020,0.0,154.88,195.13,0.0,318.24,802.5699999999999,111.93,293.2,0.0,178.36999999999998
Belgium,2021,0.0,247.84000000000003,269.56,0.0,395.75,693.27,161.39,296.23,0.0,161.66000000000003
Brazil,2018,0.0,240.57,0.0,0.0,0.0,157.15000000000003,0.0,136.19000000000003,0.0,0.0
Brazil,2019,0.0,245.06000000000003,0.0,0.0,0.0,150.39999999999998,0.0,113.85000000000002,0.0,0.0
Brazil,2020,0.0,239.66,0.0,0.0,0.0,186.38,0.0,95.21000000000001,0.0,0.0
Brazil,2021,0.0,260.76,0.0,0.0,0.0,192.67000000000002,0.0,92.02999999999999,0.0,0.0
Canada,2018,0.0,0.0,0.0,106.84,174.06,91.66999999999999,0.0,0.0,0.0,0.0
Canada,2019,0.0,0.0,0.0,82.40999999999998,175.65999999999997,97.62,0.0,0.0,0.0,0.0
Canada,2020,0.0,0.0,0.0,68.98,178.17000000000002,91.14999999999999,0.0,0.0,0.0,0.0
Canada,2021,0.0,0.0,0.0,96.16,257.83,83.33999999999999,0.0,0.0,0.0,0.0
Chile,2018,0.0,0.0,0.0,0.0,0.0,263.05,0.0,0.0,0.0,0.0
Chile,2019,0.0,0.0,0.0,0.0,0.0,268.76,0.0,0.0,0.0,0.0
