,commodity,country,imports,country_code,latitude,longitude,code country
27,03 Fish & shellfish,Bangladesh,217.37,BD,23.684994,90.356331,BD Bangladesh
28,03 Fish & shellfish,Canada,354.39,CA,56.130366,-106.346771,CA Canada
29,03 Fish & shellfish,China,953.8899999999999,CN,35.86166,104.195397,CN China
30,03 Fish & shellfish,Denmark,766.9699999999999,DK,56.26392,9.501785,DK Denmark
31,03 Fish & shellfish,Ecuador,413.39,EC,-1.831239,-78.183406,EC Ecuador
32,03 Fish & shellfish,Faroe Islands,794.44,FO,61.892635,-6.911806,FO Faroe Islands
33,03 Fish & shellfish,France,244.95000000000002,FR,46.227638,2.213749,FR France
34,03 Fish & shellfish,Germany,754.09,DE,51.165691,10.451526,DE Germany
35,03 Fish & shellfish,Honduras,151.86,HN,15.199999,-86.241905,HN Honduras
36,03 Fish & shellfish,Iceland,1225.94,IS,64.963051,-19.020835,IS Iceland
37,03 Fish & shellfish,India,423.72,IN,20.593684,78.96288,IN India
38,03 Fish & shellfish,Indonesia,157.60000000000002,ID,-0.789275,113.921327,ID Indonesia
39,03 Fish & shellfish,Ireland,177.23000000000002,IE,53.41291,-8.24389,IE Ireland
40,03 Fish & shellfish,Mauritius,200.93,MU,-20.348404,57.552152,MU Mauritius
41,03 Fish & shellfish,Netherlands,437.85,NL,52.132633,5.291266,NL Netherlands
42,03 Fish & shellfish,Norway,935.38,NO,60.472024,8.468946,NO Norway
43,03 Fish & shellfish,Poland,319.74,PL,51.919438,19.145136,PL Poland
44,03 Fish & shellfish,Seychelles,228.32000000000002,SC,-4.679574,55.491977,SC Seychelles
45,03 Fish & shellfish,Spain,273.64,ES,40.463667,-3.74922,ES Spain
46,03 Fish & shellfish,Sweden,869.47,SE,60.128161,18.643501,SE Sweden
47,03 Fish & shellfish,Thailand,211.54,TH,15.870032,100.992541,TH Thailand
48,03 Fish & shellfish,Turkey,258.05,TR,38.963745,35.243322,TR Turkey
49,03 Fish & shellfish,United States,258.11,US,37.09024,-95.712891,US United States
50,03 Fish & shellfish,Vietnam,901.2,VN,14.058324,108.277199,VN Vietnam
