Country,total2018,total2019,total2020,total2021,Latitude,Longitude
Ireland,4526.46,4491.43,4493.01,3872.3399999999997,530.0,-80.0
Netherlands,4777.85,4877.34,4551.89,3816.09,525.0,57.5
Germany,3822.5699999999997,4153.08,4127.5,2772.28,510.0,90.0
Spain,2761.35,2981.66,3074.7300000000005,2659.3999999999996,400.0,-40.0
Belgium,2085.93,2221.84,2167.83,2430.4900000000002,508.29999999999995,40.0
France,2985.35,3007.94,2971.9,2402.88,460.0,20.0
Poland,1760.63,1823.76,1968.16,2063.01,520.0,200.0
Italy,1819.75,1969.52,2136.5699999999997,2037.13,428.29999999999995,128.3
Denmark,1336.23,1173.27,1264.0700000000002,1022.2500000000001,560.0,100.0
China,661.0,795.27,770.5899999999999,732.12,350.0,1050.0
Brazil,608.5600000000001,637.5200000000001,666.7099999999999,729.48,-100.0,-550.0
Thailand,775.41,825.41,745.3000000000001,650.22,150.0,1000.0
India,492.08000000000004,547.35,566.46,642.89,200.0,770.0
South Africa,630.2900000000001,609.0899999999999,652.23,638.71,-290.0,240.0
Argentina,492.56,473.46,569.72,617.3000000000001,-340.0,-640.0
Norway,194.90999999999997,266.58,200.75000000000003,588.12,620.0,100.0
Turkey,435.25000000000006,472.07,505.23999999999995,553.2299999999999,390.0,350.0
Canada,546.19,454.33,409.24,522.41,600.0,-950.0
Vietnam,421.69,439.86,424.81,392.01,160.0,1060.0
Switzerland,135.35999999999999,96.39999999999999,80.75,343.01,470.0,80.0
Peru,303.17,324.06,323.74000000000007,330.24,-100.0,-760.0
Iceland,343.3299999999999,349.99999999999994,340.7,304.90000000000003,650.0,-180.0
New Zealand,383.51,334.59,334.57000000000005,288.05,-410.0,1740.0
Greece,302.1,329.15,343.71,285.91999999999996,390.0,220.0
Sweden,316.05999999999995,339.39,390.87,284.87000000000006,620.0,150.0
Colombia,248.86,256.55,253.67999999999998,245.75000000000006,40.0,-720.0
Portugal,216.05,227.94,276.31,244.76000000000002,395.0,-80.0
Kenya,267.03,216.10000000000002,238.84000000000003,239.32999999999998,10.0,380.0
Egypt,137.02,165.23,178.74999999999997,233.57000000000002,270.0,300.0
Chile,305.46999999999997,311.43,256.22,227.08,-300.0,-710.0
Faroe Islands,209.89,253.54000000000002,196.29000000000002,221.34,620.0,-70.0
Ecuador,143.98,129.76999999999998,170.96999999999997,201.43,-20.0,-775.0
Costa Rica,204.63000000000005,228.31,215.95999999999998,196.97,100.0,-840.0
Ukraine,117.5,211.62,175.46999999999997,195.27999999999997,490.0,320.0
Hungary,168.28,171.37,177.74,190.0,470.0,200.0
Lithuania,122.71,138.06,157.71,150.43,560.0,240.0
Pakistan,120.17,120.05,140.64,148.13000000000002,300.0,700.0
Indonesia,132.15,142.82,116.36999999999999,144.45000000000002,-50.0,1200.0
Austria,157.56,154.36,176.47,134.89,473.29999999999995,133.3
Israel,103.24999999999999,101.93,105.95999999999998,129.4,315.0,347.5
Ghana,188.63,131.82,145.04000000000002,114.99,80.0,-20.0
Cyprus,95.23,115.88000000000001,129.8,112.0,350.0,330.0
Australia,111.50999999999999,90.06,93.0,104.27,-270.0,1330.0
Honduras,109.02,102.44,95.57,97.75,150.0,-865.0
Romania,233.45,137.63,117.60999999999999,89.19,460.0,250.0
Mexico,89.32000000000001,92.13999999999997,92.05000000000001,77.30999999999999,230.0,-1020.0
Dominican Republic,98.83,101.26,94.1,72.92,190.0,-706.7
Bangladesh,65.03,79.31,76.58,71.56,240.0,900.0
Philippines,103.56,79.15,78.01,69.88,130.0,1220.0
Guatemala,60.56,68.67,70.41,63.48,155.0,-902.5
Singapore,54.72,47.559999999999995,50.84,60.38,13.700000000000001,1038.0
Mauritius,74.10000000000001,75.32,62.03,55.27,-202.8,575.5
Latvia,34.89,35.39,44.31,53.27,570.0,250.0
Serbia,38.11,45.349999999999994,50.31,52.18000000000001,440.0,210.0
Slovakia,57.199999999999996,54.96,72.48,50.489999999999995,486.70000000000005,195.0
Sri Lanka,43.44,45.07,44.61,48.64,70.0,810.0
Bulgaria,84.33,104.85000000000001,81.53999999999999,48.279999999999994,430.0,250.0
Seychelles,67.11000000000001,60.260000000000005,52.93000000000001,48.169999999999995,-45.8,556.7
Hong Kong,33.13,32.71,35.42,48.09,222.5,1141.7
