,commodity,year,imports
0,01 Meat & meat preparations,2018.0,183.50000000000003
1,02 Dairy products & eggs,2018.0,225.19
2,04 Cereals,2018.0,322.08
3,05 Vegetables & fruit,2018.0,765.8799999999999
4,06 Sugar,2018.0,141.82
5,"07 Coffee, tea, cocoa etc",2018.0,220.85000000000002
6,09 Miscellaneous foods,2018.0,169.37
7,01 Meat & meat preparations,2019.0,194.21
8,02 Dairy products & eggs,2019.0,203.49
9,04 Cereals,2019.0,306.53000000000003
10,05 Vegetables & fruit,2019.0,858.0200000000001
11,06 Sugar,2019.0,134.15
12,"07 Coffee, tea, cocoa etc",2019.0,266.10999999999996
13,09 Miscellaneous foods,2019.0,169.08
14,01 Meat & meat preparations,2020.0,154.88
15,02 Dairy products & eggs,2020.0,195.13
16,04 Cereals,2020.0,318.24
17,05 Vegetables & fruit,2020.0,802.5699999999999
18,06 Sugar,2020.0,111.93
19,"07 Coffee, tea, cocoa etc",2020.0,293.2
20,09 Miscellaneous foods,2020.0,178.36999999999998
21,01 Meat & meat preparations,2021.0,247.84000000000003
22,02 Dairy products & eggs,2021.0,269.56
23,04 Cereals,2021.0,395.75
24,05 Vegetables & fruit,2021.0,693.27
25,06 Sugar,2021.0,161.39
26,"07 Coffee, tea, cocoa etc",2021.0,296.23
27,09 Miscellaneous foods,2021.0,161.66000000000003
