country,year,Live animals,Meat,Dairy and eggs,Fish and shellfish,Cereals,Vegetables and fruit,Sugar,Coffee tea cocoa etc,Animal feeding,Miscellaneous foods
Ireland,2018,367.98,1656.1999999999998,835.8599999999999,45.79,347.91999999999996,254.73000000000002,46.26,205.71999999999997,329.25,436.75
Ireland,2019,357.34000000000003,1562.04,821.5,55.74000000000001,409.56,267.92,53.56,219.34999999999997,331.09000000000003,413.33000000000004
Ireland,2020,400.9,1479.95,780.52,40.16,443.28,252.96,39.56,237.78,363.71,454.19
Ireland,2021,354.86,1314.1799999999998,688.8499999999999,35.54,400.28,290.61,42.56,203.65999999999997,244.52999999999997,297.27
Netherlands,2018,37.379999999999995,1060.65,417.81999999999994,125.38,288.62,1572.9899999999998,128.92,344.05,344.34,457.70000000000005
Netherlands,2019,21.9,1052.22,374.43,120.65,326.47,1638.8400000000001,115.78,363.44,353.13000000000005,510.47999999999996
Netherlands,2020,12.8,898.51,377.44,99.15,303.9,1548.2400000000002,114.68,322.8399999999999,360.64000000000004,513.69
Netherlands,2021,11.61,750.1500000000001,260.68999999999994,92.67,231.52000000000004,1367.31,71.36,303.05,306.4,421.33
Germany,2018,11.77,702.91,414.10999999999996,185.18,532.3299999999999,712.1199999999999,102.99000000000001,629.8900000000001,158.95,372.32
Germany,2019,20.049999999999997,727.03,417.0800000000001,241.70000000000002,577.9100000000001,801.4499999999999,117.66,657.2300000000001,179.33999999999997,413.62999999999994
Germany,2020,15.500000000000002,741.0,374.93,215.06000000000003,574.1,779.8200000000002,93.12,650.98,233.32,449.6700000000001
Germany,2021,5.9799999999999995,578.62,236.37999999999997,112.15000000000002,442.51,297.76,119.72,429.26000000000005,201.45999999999998,348.44000000000005
Spain,2018,0.29000000000000004,190.69,71.23999999999998,74.3,188.22999999999996,1921.1100000000001,44.010000000000005,150.86,33.220000000000006,87.39999999999998
Spain,2019,1.7,213.93,76.25,82.55999999999999,200.61,2047.03,45.22,146.66000000000003,32.07,135.63
Spain,2020,0.76,223.38,67.36,67.24,200.27000000000004,2122.65,66.6,162.20999999999998,37.19,127.07
Spain,2021,1.82,192.97,69.50999999999999,49.53999999999999,173.89000000000001,1843.5199999999998,58.24,119.22,36.07,114.62
Belgium,2018,1.9699999999999998,183.50000000000003,225.19,14.449999999999998,322.08,765.8799999999999,141.82,220.85000000000002,40.82000000000001,169.37
Belgium,2019,7.979999999999999,194.21,203.49,24.849999999999998,306.53000000000003,858.0200000000001,134.15,266.10999999999996,57.419999999999995,169.08
Belgium,2020,8.79,154.88,195.13,12.819999999999999,318.24,802.5699999999999,111.93,293.2,91.9,178.36999999999998
