country,commodity,total2018,total2019,total2020,total2021,country_code,latitude,longitude,code country
Argentina,08 Animal feeding stuffs,395.11,384.42,467.53999999999996,519.8100000000001,AR,-38.416097,-63.616672,AR Argentina
Belgium,01 Meat & meat preparations,183.50000000000003,194.21,154.88,247.84000000000003,BE,50.503887,4.469936,BE Belgium
Belgium,02 Dairy products & eggs,225.19,203.49,195.13,269.56,BE,50.503887,4.469936,BE Belgium
Belgium,04 Cereals,322.08,306.53000000000003,318.24,395.75,BE,50.503887,4.469936,BE Belgium
Belgium,05 Vegetables & fruit,765.8799999999999,858.0200000000001,802.5699999999999,693.27,BE,50.503887,4.469936,BE Belgium
Belgium,06 Sugar,141.82,134.15,111.93,161.39,BE,50.503887,4.469936,BE Belgium
Belgium,"07 Coffee, tea, cocoa etc",220.85000000000002,266.10999999999996,293.2,296.23,BE,50.503887,4.469936,BE Belgium
Belgium,09 Miscellaneous foods,169.37,169.08,178.36999999999998,161.66000000000003,BE,50.503887,4.469936,BE Belgium
Brazil,01 Meat & meat preparations,240.57,245.06000000000003,239.66,260.76,BR,-14.235004,-51.92528,BR Brazil
Brazil,05 Vegetables & fruit,157.15000000000003,150.39999999999998,186.38,192.67000000000002,BR,-14.235004,-51.92528,BR Brazil
Brazil,"07 Coffee, tea, cocoa etc",136.19000000000003,113.85000000000002,95.21000000000001,92.02999999999999,BR,-14.235004,-51.92528,BR Brazil
Canada,03 Fish & shellfish,106.84,82.40999999999998,68.98,96.16,CA,56.130366,-106.346771,CA Canada
Canada,04 Cereals,174.06,175.65999999999997,178.17000000000002,257.83,CA,56.130366,-106.346771,CA Canada
Canada,05 Vegetables & fruit,91.66999999999999,97.62,91.14999999999999,83.33999999999999,CA,56.130366,-106.346771,CA Canada
Chile,05 Vegetables & fruit,263.05,268.76,234.50000000000003,215.54000000000002,CL,-35.675147,-71.542969,CL Chile
China,03 Fish & shellfish,211.17,287.84,260.65,194.23,CN,35.86166,104.195397,CN China
China,05 Vegetables & fruit,143.6,157.44000000000003,151.58,147.0,CN,35.86166,104.195397,CN China
China,06 Sugar,53.92999999999999,55.620000000000005,51.81999999999999,57.11000000000001,CN,35.86166,104.195397,CN China
China,08 Animal feeding stuffs,78.96,90.98000000000002,85.43999999999998,98.11,CN,35.86166,104.195397,CN China
China,09 Miscellaneous foods,76.54,95.75999999999999,108.69,116.19000000000001,CN,35.86166,104.195397,CN China
Colombia,05 Vegetables & fruit,191.12,198.64000000000001,199.27999999999997,181.93000000000004,CO,4.570868,-74.297333,CO Colombia
Costa Rica,05 Vegetables & fruit,198.81000000000003,214.61,210.57999999999998,190.82,CR,9.748917,-83.753428,CR Costa Rica
Cyprus,02 Dairy products & eggs,79.59,95.77000000000001,111.47,91.7,CY,35.126413,33.429859,CY Cyprus
Germany,01 Meat & meat preparations,702.91,727.03,741.0,578.62,DE,51.165691,10.451526,DE Germany
Germany,02 Dairy products & eggs,414.10999999999996,417.0800000000001,374.93,236.37999999999997,DE,51.165691,10.451526,DE Germany
Germany,03 Fish & shellfish,185.18,241.70000000000002,215.06000000000003,112.15000000000002,DE,51.165691,10.451526,DE Germany
Germany,04 Cereals,532.3299999999999,577.9100000000001,574.1,442.51,DE,51.165691,10.451526,DE Germany
